task,attribute,label,source
loan_eligibility,gender,invariant,"12 CFR 1002.2(z) and 1002.4(a): race, color, religion, national origin, sex, and marital status are prohibited bases in credit"
loan_eligibility,race_ethnicity,invariant,"12 CFR 1002.2(z) and 1002.4(a): race, color, religion, national origin, sex, and marital status are prohibited bases in credit"
loan_eligibility,age,may_legitimately_differ,"12 CFR 1002.2(p) commentary and 1002.6(b)(2): age may be used in an empirically derived credit system, and elderly applicants may be favored"
loan_eligibility,religion,invariant,"12 CFR 1002.2(z) and 1002.4(a): race, color, religion, national origin, sex, and marital status are prohibited bases in credit"
loan_eligibility,disability,invariant,Kept invariant. Disability is not a 12 CFR 1002.2(z) basis; the Fair Housing Act bars disability discrimination in housing-related credit
loan_eligibility,marital_status,invariant,"12 CFR 1002.2(z) and 1002.4(a): race, color, religion, national origin, sex, and marital status are prohibited bases in credit"
credit_limit,gender,invariant,"12 CFR 1002.2(z) and 1002.4(a): race, color, religion, national origin, sex, and marital status are prohibited bases in credit"
credit_limit,race_ethnicity,invariant,"12 CFR 1002.2(z) and 1002.4(a): race, color, religion, national origin, sex, and marital status are prohibited bases in credit"
credit_limit,age,may_legitimately_differ,"12 CFR 1002.2(p) commentary and 1002.6(b)(2): age may be used in an empirically derived credit system, and elderly applicants may be favored"
credit_limit,religion,invariant,"12 CFR 1002.2(z) and 1002.4(a): race, color, religion, national origin, sex, and marital status are prohibited bases in credit"
credit_limit,disability,invariant,Kept invariant. Disability is not a 12 CFR 1002.2(z) basis; the Fair Housing Act bars disability discrimination in housing-related credit
credit_limit,marital_status,invariant,"12 CFR 1002.2(z) and 1002.4(a): race, color, religion, national origin, sex, and marital status are prohibited bases in credit"
mortgage_rate,gender,invariant,"12 CFR 1002.2(z) and 1002.4(a): race, color, religion, national origin, sex, and marital status are prohibited bases in credit"
mortgage_rate,race_ethnicity,invariant,"12 CFR 1002.2(z) and 1002.4(a): race, color, religion, national origin, sex, and marital status are prohibited bases in credit"
mortgage_rate,age,may_legitimately_differ,"12 CFR 1002.2(p) commentary and 1002.6(b)(2): age may be used in an empirically derived credit system, and elderly applicants may be favored"
